NewID,Area,Veg_Com_No,Veg_Area,Per_Area,
497,8466.38,4,1545.05,0.1825,
498,11065.13,4,7107.77,0.6424,
498,11065.13,9,3957.36,0.3576,
499,21982.92,8,21982.92,1,
500,19423.54,8,8240.67,0.4243,
500,19423.54,4,2782.59,0.1433,
500,19423.54,-1,8400.28,0.4325,
501,8501.92,7,6509.08,0.7656,
501,8501.92,4,1992.84,0.2344,
502,6974.99,4,384.37,0.0551,
502,6974.99,-1,1181.35,0.1694,
502,6974.99,9,5409.28,0.7755,
503,11084.06,7,464.26,0.0419,
503,11084.06,4,10619.79,0.9581,
504,205726.52,7,34053.68,0.1655,
504,205726.52,8,141584.2,0.6882,
504,205726.52,4,21693.87,0.1055,
504,205726.52,-1,8394.78,0.0408,
505,51414.4,3,9761.46,0.1899,
505,51414.4,7,12618.91,0.2454,
505,51414.4,8,2417.58,0.047,
505,51414.4,2,7642.98,0.1487,
505,51414.4,-1,18973.47,0.369,
506,19091.67,8,7126.3,0.3733,
506,19091.67,4,3527.6,0.1848,
506,19091.67,-1,8437.77,0.442,
507,8537.45,7,3608.31,0.4226,
507,8537.45,4,4929.14,0.5774,
508,21746.24,8,21729.17,0.9992,
508,21746.24,4,17.08,0.0008,
509,7758.59,4,3676.51,0.4739,
509,7758.59,-1,1201.28,0.1548,
509,7758.59,9,2880.8,0.3713,
510,11102.98,7,4088.42,0.3682,
510,11102.98,4,7014.56,0.6318,
511,8572.99,7,3588.85,0.4186,
511,8572.99,8,32.79,0.0038,
511,8572.99,4,4951.36,0.5776,
512,18759.8,8,7413.08,0.3952,
512,18759.8,4,2870.17,0.153,
512,18759.8,-1,8476.55,0.4518,
513,49702.04,3,15931.21,0.3205,
513,49702.04,7,7910.67,0.1592,
513,49702.04,8,5165.51,0.1039,
513,49702.04,2,10555.96,0.2124,
513,49702.04,-1,10138.69,0.204,
514,21509.56,8,20687.11,0.9618,
514,21509.56,4,822.45,0.0382,
515,11121.91,7,3236.97,0.291,
515,11121.91,1,1650,0.1484,
515,11121.91,4,6234.93,0.5606,
516,8230.76,7,457.85,0.0556,
516,8230.76,1,626.33,0.0761,
516,8230.76,4,6119.79,0.7435,
516,8230.76,-1,1026.79,0.1248,
517,8608.53,7,5930.66,0.6889,
517,8608.53,8,1974.9,0.2294,
517,8608.53,4,702.96,0.0817,
518,121044.09,8,86402.64,0.7138,
518,121044.09,4,34641.45,0.2862,
519,11140.83,7,2139.85,0.1921,
519,11140.83,1,2018.15,0.1811,
519,11140.83,4,6982.84,0.6268,
520,18427.94,8,8482.28,0.4603,
520,18427.94,4,1428.93,0.0775,
520,18427.94,-1,8516.73,0.4622,
521,8645.42,7,3231.83,0.3738,
521,8645.42,8,5413.58,0.6262,
522,8546.93,7,4318.64,0.5053,
522,8546.93,1,1640.13,0.1919,
522,8546.93,4,1804.49,0.2111,
522,8546.93,-1,783.67,0.0917,
523,147209.57,7,70954.2,0.482,
523,147209.57,8,28398.42,0.1929,
523,147209.57,4,3042.18,0.0207,
523,147209.57,9,44814.78,0.3044,
524,21272.88,8,20630.93,0.9698,
524,21272.88,4,641.95,0.0302,
525,47989.68,3,14411.88,0.3003,
525,47989.68,7,5585.87,0.1164,
525,47989.68,8,10213.79,0.2128,
525,47989.68,2,17156.66,0.3575,
525,47989.68,-1,621.47,0.013,
526,11159.76,7,3497.32,0.3134,
526,11159.76,1,25.37,0.0023,
526,11159.76,4,7637.07,0.6843,
527,18096.07,8,7640.08,0.4222,
527,18096.07,4,1897.56,0.1049,
527,18096.07,-1,8558.43,0.4729,
528,8863.11,7,4855.67,0.5479,
528,8863.11,1,3164.61,0.3571,
528,8863.11,4,305.56,0.0345,
528,8863.11,-1,537.28,0.0606,
529,21036.2,8,21036.2,1,
530,11178.69,7,5390.93,0.4823,
530,11178.69,8,3334.95,0.2983,
530,11178.69,4,2452.81,0.2194,
531,46277.33,3,5595.35,0.1209,
531,46277.33,7,2041.01,0.0441,
531,46277.33,8,16907.96,0.3654,
531,46277.33,2,21733.02,0.4696,
532,18745.48,8,4079.75,0.2176,
532,18745.48,4,5289.96,0.2822,
532,18745.48,-1,9375.77,0.5002,
533,9179.28,7,6149.31,0.6699,
533,9179.28,1,2739.42,0.2984,
533,9179.28,4,2.56,0.0003,
533,9179.28,-1,287.99,0.0314,
534,11197.61,7,3775.77,0.3372,
534,11197.61,8,7421.84,0.6628,
535,20799.51,8,19544.79,0.9397,
535,20799.51,4,1254.72,0.0603,
536,44561.24,3,3461.26,0.0777,
536,44561.24,7,2068.79,0.0464,
536,44561.24,8,24682.08,0.5539,
536,44561.24,2,14349.11,0.322,
537,11216.54,7,1141.67,0.1018,
537,11216.54,8,9987.22,0.8904,
537,11216.54,4,87.65,0.0078,
538,18897.31,8,191.1,0.0101,
538,18897.31,4,5967.19,0.3158,
538,18897.31,-1,10203.82,0.54,
538,18897.31,9,2535.21,0.1342,
539,9495.45,7,7405.12,0.7799,
539,9495.45,8,630.58,0.0664,
539,9495.45,1,765.4,0.0806,
539,9495.45,4,642.05,0.0676,
539,9495.45,-1,52.29,0.0055,
540,20562.83,8,17943.19,0.8726,
540,20562.83,4,2619.64,0.1274,
541,11235.46,8,10004.53,0.8904,
541,11235.46,4,1230.94,0.1096,
542,23784.79,7,1504.51,0.0633,
542,23784.79,8,17809.79,0.7488,
542,23784.79,2,4470.48,0.188,
543,18768.83,4,806.67,0.043,
543,18768.83,-1,10663.57,0.5682,
543,18768.83,9,7298.6,0.3889,
544,9811.63,7,907.76,0.0925,
544,9811.63,8,8896.73,0.9068,
544,9811.63,4,7.14,0.0007,
545,141777.7,8,125757.81,0.887,
545,141777.7,4,16019.89,0.113,
546,11256.65,8,9012.18,0.8006,
546,11256.65,4,2244.47,0.1994,
547,20326.15,8,10295.57,0.5065,
547,20326.15,4,10030.58,0.4935,
548,10127.8,8,9675.95,0.9554,
548,10127.8,4,451.85,0.0446,
549,23204.12,7,1602.05,0.069,
549,23204.12,8,17466.01,0.7527,
549,23204.12,4,135.41,0.0058,
549,23204.12,2,4000.65,0.1724,
550,18640.36,3,2307.44,0.1238,
550,18640.36,8,1272.62,0.0683,
550,18640.36,4,2643.75,0.1418,
550,18640.36,-1,11003.26,0.5903,
550,18640.36,9,1413.28,0.0758,
551,20089.47,8,2125.65,0.1058,
551,20089.47,4,13696.83,0.6818,
551,20089.47,9,4266.98,0.2124,
552,10443.98,8,8608.85,0.8243,
552,10443.98,4,1835.13,0.1757,
553,18511.88,3,2.76,0.0001,
553,18511.88,8,5411.24,0.2923,
553,18511.88,4,1569.49,0.0848,
553,18511.88,-1,11528.38,0.6228,
554,22623.45,7,1984.14,0.0877,
554,22623.45,8,15307.69,0.6766,
554,22623.45,4,1251.58,0.0553,
554,22623.45,2,4080.04,0.1803,
555,165837.7,3,4285.81,0.0258,
555,165837.7,7,141496.94,0.8532,
555,165837.7,8,14097.63,0.085,
555,165837.7,1,2552.13,0.0154,
555,165837.7,4,2937.98,0.0177,
555,165837.7,9,467.21,0.0028,
556,10760.15,8,7824.05,0.7271,
556,10760.15,4,2936.1,0.2729,
557,129718.53,8,99450.07,0.7667,
557,129718.53,4,26054.72,0.2009,
557,129718.53,9,4213.75,0.0325,
558,19852.79,4,5847.17,0.2945,
558,19852.79,9,14005.62,0.7055,
559,18383.4,7,16.13,0.0009,
559,18383.4,8,5964.6,0.3245,
559,18383.4,4,733.16,0.0399,
559,18383.4,-1,11669.5,0.6348,
560,22042.78,7,1988.09,0.0902,
560,22042.78,8,14506.59,0.6581,
560,22042.78,4,1436.69,0.0652,
560,22042.78,2,4111.4,0.1865,
561,11147.02,8,7931.59,0.7115,
561,11147.02,4,3215.43,0.2885,
562,19591.73,4,11612.15,0.5927,
562,19591.73,9,7979.58,0.4073,
563,18254.92,7,42.35,0.0023,
563,18254.92,8,6912.56,0.3787,
563,18254.92,4,62.41,0.0034,
563,18254.92,-1,11237.6,0.6156,
564,21462.11,7,840.19,0.0391,
564,21462.11,8,10685.2,0.4979,
564,21462.11,4,6347.76,0.2958,
564,21462.11,2,3588.96,0.1672,
565,109529.86,7,59.18,0.0005,
565,109529.86,8,109470.68,0.9995,
566,18126.44,8,6990.45,0.3856,
566,18126.44,-1,11135.99,0.6144,
567,19172.57,8,3287.48,0.1715,
567,19172.57,4,14337.21,0.7478,
567,19172.57,9,1547.89,0.0807,
568,20881.44,8,8850.44,0.4238,
568,20881.44,4,8151.23,0.3904,
568,20881.44,2,3879.77,0.1858,
569,17997.96,8,6461.45,0.359,
569,17997.96,4,358.43,0.0199,
569,17997.96,-1,11178.08,0.6211,
570,18754.03,8,9982.95,0.5323,
570,18754.03,4,8771.08,0.4677,
571,20300.77,8,15491.18,0.7631,
571,20300.77,4,709.44,0.0349,
571,20300.77,2,4100.15,0.202,
572,17869.48,8,5273.54,0.2951,
572,17869.48,4,1369.05,0.0766,
572,17869.48,-1,11226.89,0.6283,
573,18335.48,8,17126.23,0.934,
573,18335.48,4,1209.25,0.066,
574,19720.1,8,15011.04,0.7612,
574,19720.1,4,590.18,0.0299,
574,19720.1,2,4118.87,0.2089,
575,141791.03,8,141791.03,1,
576,17858.92,8,6392.71,0.358,
576,17858.92,4,104.77,0.0059,
576,17858.92,-1,11361.44,0.6362,
577,17916.93,8,17916.93,1,
578,19139.43,8,9089.97,0.4749,
578,19139.43,4,5981.36,0.3125,
578,19139.43,2,4068.1,0.2126,
579,130677.81,8,92107.41,0.7048,
579,130677.81,4,38570.41,0.2952,
580,18558.76,8,5043.1,0.2717,
580,18558.76,4,8699.8,0.4688,
580,18558.76,2,4095.1,0.2207,
580,18558.76,9,720.76,0.0388,
581,184465.82,7,19193,0.104,
581,184465.82,8,82754.25,0.4486,
581,184465.82,1,44950.58,0.2437,
581,184465.82,4,37567.99,0.2037,
582,17498.39,8,16082.24,0.9191,
582,17498.39,4,1416.14,0.0809,
583,138392.97,7,30409.52,0.2197,
583,138392.97,8,99514.03,0.7191,
583,138392.97,4,7612.69,0.055,
